"Data Source","Indicadores del desarrollo mundial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","5/10/2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Armenia","ARM","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","733139.08004383","636429.62914128","374865.64179317","353467.30087127","381790.3548405","414389.68545032","441871.45228498","460381.35716683","498694.71176189","520698.38339005","557946.94935148","618417.10677459","706382.56706764","810742.37100459","901234.59240739","1032737.840135","1177078.3270433","1348179.6141184","1451334.9713969","1254740.1595522","1290180.068038","1358804.9826287","1463913.5869526","1519017.1923064","1579939.5935542","1636918.0465123","1647494.7623642","1779696.2834551","1882382.6616211","2036900.8565547","1900346.0185651","2019197.8406192",""
"Samoa Americana","ASM","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12461.96950685","12633.541015861","12754.659355152","12785.132916477","12351.109312596","12681.127290141","12452.809933621","12047.104721309","12197.123010447","12318.17344872","11920.061090313","11774.695726012","12160.79054714","12751.129107616","12765.620044402","12110.062066595","12700.313893937","12932.947317259","13921.063456667","14011.324525369",""
"Antigua y Barbuda","ATG","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","12157.985493239","12649.122580329","13611.892013651","14659.287304782","15174.795427039","15126.019124496","15894.253247309","17522.226385362","18952.637951974","21240.73892632","22774.574165929","24100.81793942","25504.582030612","26400.486356746","26845.39711475","26725.900493357","27634.80876143","28935.770515267","27137.781806486","28349.809450128","29304.810581595","30118.640798104","30706.844935723","32075.544600626","30150.757724857","30073.838979208","31541.72270253","32994.768244638","34722.608271044","38638.852833921","41660.895435037","41036.984540726","35579.530129889","32345.644436665","31334.040517013","32041.768369186","31553.046995943","32479.492581469","33457.599982211","35053.774126585","35935.754343222","38196.909174252","39840.637450199","31608.175774842","33076.089638378",""
"Australia","AUS","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","27225.3808382","27351.616903558","27037.702476261","28172.876712329","29553.684964628","30713.294696171","30734.185906789","32262.140859395","33312.68215505","34921.144907445","36696.889741745","36896.575713071","37641.041208166","38040.956651719","38613.422720979","38650.615417836","39255.611772251","40211.175310034","40101.267586015","41276.905057186","42014.633814321","42744.88282051","43406.959857805","41864.49944496","43264.271369786","44945.146764265","46056.741174965","46522.372222018","48402.374909903","49434.18790162","50449.958535324","49620.181304876","49278.047170159","50818.47219431","52335.046739575","53767.194919689","55167.179915112","56708.836876352","58736.642005754","60977.083885278","62634.94675072","63098.203183541","64875.884896854","66129.425081831","68184.917243114","69484.305870631","70431.734129332","71770.747519808","72857.005104051","72705.892907286","73163.094170912","73878.971660908","75433.243458487","76058.076293158","76864.548281997","77397.270195933","78278.379558071","78751.93511056","79813.733868827","80344.6158334","79317.523961628","80987.721970179",""
"Austria","AUT","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","10861.659447012","11400.475653612","11630.932810818","12034.696707359","12686.897360215","13043.400798135","13683.111651658","13989.751519036","14539.722482509","15398.946790328","16315.260598311","17073.421414784","18028.232280662","18805.412388291","19513.506314878","19494.18207358","20422.762068726","21451.997309878","21424.146077155","22610.28276988","23001.752184568","22910.062480925","23354.087328726","24087.318812311","24101.186626769","24691.802032654","25244.010074779","25570.426555326","26375.830172951","27277.910411445","28247.243955013","28929.128597681","29211.503577036","29124.232936186","29709.269443826","30455.243261496","31128.741149818","31744.460150243","32845.304044021","33947.278663878","35008.95829854","35317.127839038","35724.220012554","35885.317142082","36638.805154109","37206.661684388","38301.809209034","39600.903479205","40053.663427826","38444.972105239","39057.237938045","40063.527488002","40152.649036043","39926.871115116","39878.012336486","39833.532325955","40189.03430919","40812.255344262","41598.998520562","42042.847232858","39166.467044916","40773.199749838",""
"Azerbaiyán","AZE","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1599.3754447263","1567.1898835146","1194.8067271286","904.98408229706","716.96858442319","625.10032076098","626.8519386835","656.84230536153","715.70120055605","761.94683536375","839.59706035832","915.59589209981","994.56925213688","1087.8246438591","1178.1308252573","1492.2216197859","1985.1096993948","2453.4106836959","2660.9066686446","2848.5166212653","2956.9451506748","2921.5847301921","2945.4448489767","3076.5177367558","3121.9251985222","3118.7058266466","2988.4321300718","2965.1696924498","2983.6867670291","3032.4954213683","2882.3049679083","3030.3158984982",""
"Burundi","BDI","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","161299.78606495","135701.25581149","144338.97475859","147211.45864179","152057.45918283","153784.8181701","157088.1902487","174370.96647023","169811.52987251","163813.25201661","194576.64209051","195219.97684858","182864.92695983","195886.46214283","189756.19476824","186534.44145894","197058.37524136","214260.49517903","206361.27307701","204826.43838686","198443.81925435","213763.13082267","206385.32504062","208426.88078678","203760.55490113","222901.81272362","225870.07725163","232937.56664946","239362.88028468","237994.8001348","241378.83884384","248410.36955917","244441.86055056","236939.33251968","226592.42563379","196464.86148238","180817.03960555","178141.65240514","183156.65349425","177057.62762573","171992.77754235","171237.40611461","173923.32413086","166488.81824486","168171.82381677","163522.07386403","166312.92772835","165851.07586793","166907.80370251","164691.77779416","165215.86296328","165895.74599875","167262.86126488","169376.39366646","170749.36345828","160537.70526891","156996.02864337","154213.04405781","152089.31512601","149873.08022113","146113.5721998","144814.43650073",""
"Bélgica","BEL","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","10576.088182472","11065.78826005","11596.285968889","12010.778227019","12725.316161521","13059.285042133","13380.734440132","13821.171449034","14344.308920047","15252.057475646","16087.685744229","16698.45289472","17514.020068756","18573.178453086","19360.082698051","18924.707418858","19958.779930429","20058.968757801","20609.785991898","21073.326359599","21985.592401525","21924.768500439","22061.212708254","22131.767172103","22677.961826301","23045.689280554","23457.393526532","23978.02524236","25030.851178145","25805.305494824","26535.664792118","26921.857354791","27223.265278655","26856.295741722","27637.630994415","28237.519669648","28554.815929722","29566.45282576","30082.187527443","31076.616360038","32153.561760761","32395.511817836","32801.098638944","33003.113973192","34034.107794572","34633.263149135","35283.739279205","36313.438173485","36188.718683044","35173.291919885","35851.701780886","35987.950641514","36029.841544002","36025.104201325","36431.681987164","36960.631161637","37239.783321105","37697.41044476","38199.031876457","38844.510130577","36603.804065032","38666.907272626",""
"Benin","BEN","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","388555.52634575","394645.46036086","374938.14228732","386007.41478089","404392.86838528","417984.11400069","424733.72135972","420996.15144006","428510.96984094","431916.65083957","431893.9487862","416483.87125811","433695.74725447","439878.53658385","444392.38336934","412952.59198574","406777.24329103","416678.8289091","411412.98489082","427091.03285987","443976.34078163","474840.59309884","471945.52133061","438749.6275224","460135.00870007","480624.55681028","476836.13939678","455919.49610848","457507.38372854","431235.00572326","455869.07080836","460804.17797238","460113.61858251","465767.87886679","457753.29672482","475541.32613006","483522.33062964","496589.26880836","500800.3460566","511665.67897983","525427.68150376","537025.78784563","545344.09844851","547372.91375296","554579.14405298","546438.95472794","550872.8159073","567300.136995","577793.06254813","574046.43917687","569228.14695772","569185.86359982","579431.57622699","603348.23009236","623201.43376577","615837.15692519","617905.45986109","633992.9389014","656970.54347729","682096.43160979","688587.78009199","717776.87340707",""
"Burkina Faso","BFA","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","144214.56837273","147895.31793903","154675.36269796","150447.96900416","151534.82874389","154745.20503481","153058.72398836","163819.62513317","166000.56802331","166488.97773049","163834.71209798","163352.05709632","164321.30418276","162196.98662196","172415.36482778","174104.67473516","185006.44477106","181443.20383682","185152.02616263","187041.71042138","183555.0193878","186241.34687867","198529.66754017","193678.32756443","184827.06640645","194845.63561316","204486.78352992","198509.33953021","204469.7162997","203430.24985065","196974.94431553","209479.24527798","204859.15089303","206747.89908614","204252.82403895","210464.23513051","227752.00939441","236002.84153409","246382.56790449","256975.12612331","254130.79481183","262823.01543115","265958.90651949","277946.10877588","281422.66905558","296319.58941425","305169.74328179","308225.4159395","316643.31599433","316603.81704895","333400.10721081","345078.13475089","356374.58322358","365844.50838289","370468.76974494","373720.69127614","384534.29322552","396851.91426053","411509.69260456","423314.78700545","420038.97621972","437303.16764871",""
