"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"","
"Bangladesh,""BGD"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"",""2210118183804.63"",""2344010697812.72"",""2471830327101.55"",""2460561393783.32"",""2730061480289.95"",""2773913317471.56"",""2845114457409.54"",""2791743981830.32"",""3056665243216.02"",""3093982782592.44"",""3267860044938.83"",""3088798208423.12"",""2657177926624.48"",""2745547166776.69"",""3008898851221.28"",""2885888624377.15"",""3049269203267.38"",""3130777878186.71"",""3352244025057.99"",""3513206534060.27"",""3541984679721.65"",""3798209857134.96"",""3879276107376.78"",""4029832613081.09"",""4223397966583.2"",""4364544545529.66"",""4546693686372.75"",""4718213243226.21"",""4832217394180.43"",""4969287209222.01"",""5248673364916.19"",""5431601589000"",""5727226583800"",""5997068399400"",""6230361942900"",""6549436092000"",""6845661795600"",""7153024924800"",""7523338947400"",""7874690640400"",""8291521224200"",""8712505617700"",""9046466756300"",""9475230145500"",""9971687947300"",""10623431981200"",""11332217268700"",""12132113084000"",""12861712858200"",""13510602322500"",""14263384466900"",""15185423714600"",""16175734862800"",""17148479769800"",""18187859307800"",""19379644229900"",""20758211000000"",""22126229000000"",""23745739000000"",""25617358000000"",""26500650000000"",""28339444000000"","""","
"Bulgaria,""BGR"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""53604185026"",""56230876856"",""57543623559"",""59517545881"",""61539025772"",""63190389061"",""65849189137"",""69836037406"",""77479376650"",""74930396531"",""68098709720"",""62347531800"",""57813377400"",""56957615200"",""57993111100"",""59652429000"",""62757573000"",""53899102000"",""55941404000"",""51244513000"",""53595214000"",""55644536000"",""58911945000"",""61997255000"",""66033540000"",""70693097000"",""75502058000"",""80526257000"",""85462162000"",""82601622000"",""83875175000"",""85637565000"",""86284069000"",""85800452000"",""86630030000"",""89599755000"",""92323431000"",""94873562000"",""97420690000"",""101354676000"",""97342435000"",""104774150000"","""","
"Bahrein,""BHR"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2866710100"",""2714295800"",""2509197700"",""2669193600"",""2802750600"",""2669388200"",""2700966900"",""2981840700"",""3190569300"",""3202183200"",""3344296000"",""3719860400"",""3968719000"",""4479493400"",""4468294600"",""4643898200"",""4834762700"",""4984301900"",""5223050100"",""5447641200"",""5736370000"",""5879260000"",""6076130000"",""6458710000"",""6909590000"",""7377300000"",""7854390000"",""8505830000"",""9037020000"",""9266550000"",""9668190000"",""9859960000"",""10227550000"",""10781560000"",""11250600000"",""11530220000"",""11940480000"",""12452840000"",""12715735700"",""12991281200"",""12350050400"",""12624882400"","""","
"Bahamas,""BHS"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"",""1988791845.1"",""2200938208.8"",""2430979651.8"",""2686817292.3"",""2968975215.8"",""3278508591.7"",""3575932553.9"",""3919154632.2"",""4249216569.1"",""4630866863.5"",""4369239116"",""4440305172.1"",""4285012783.8"",""4609284075.3"",""3837034062.6"",""3269033063.7"",""3438538474.8"",""3753334238.4"",""4285539022.6"",""5405748743"",""5756867363.8"",""5225715460.9"",""5575780796.7"",""5776344524"",""6594918891.5"",""6913399403.2"",""7037633206.2"",""7247672730.6"",""7415072782.9"",""7913909183.9"",""7787583480.8"",""7461923500"",""7176461500"",""7198551100"",""7425227400"",""7750359700"",""8077698500"",""8633100000"",""8244300000"",""9249900000"",""9633700000"",""9886600000"",""10154000000"",""10025600000"",""10114100000"",""10457500000"",""10720700000"",""10875800000"",""10623100000"",""10179500000"",""10336100000"",""10399500000"",""10720520000"",""10413560000"",""10605930000"",""10711650000"",""10619780000"",""10943700000"",""11144080000"",""11355390000"",""8650240000"",""9837030000"","""","
"Bosnia y Herzegovina,""BIH"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4295933200"",""5189487200"",""9805933900"",""13178152800"",""15233944200"",""16696402800"",""18827777000"",""19284033000"",""20253527000"",""21036759000"",""22367390000"",""23239087000"",""24497252000"",""25932087000"",""27343786000"",""26522254000"",""26751849000"",""27008536000"",""26786570000"",""27416016000"",""27732356000"",""28589053600"",""29489553700"",""30424795700"",""31562705300"",""32456245900"",""31443841300"",""33816465000"","""","
"Belarús,""BLR"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""40428489483"",""39943349400"",""36108787300"",""33364518800"",""29460868800"",""26396938300"",""27136053800"",""30229565400"",""32768846300"",""33882986800"",""35848201200"",""37542138400"",""39436239700"",""42213810000"",""47047182800"",""51469618700"",""56616577900"",""61485607300"",""67757138900"",""67892650000"",""73187100000"",""77123620000"",""78424800000"",""79211770000"",""80579270000"",""77493430000"",""75535600000"",""77448300000"",""79887300000"",""81005722200"",""80439000000"",""82289000000"","""","
"Belice,""BLZ"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"",""284818356.604081"",""298752460.179829"",""313369378.936469"",""328901325.990473"",""345345997.313753"",""362373423.169581"",""379661697.919531"",""398314944.737526"",""427659704.745847"",""449497612.100223"",""471108078.967737"",""489761325.785732"",""539806626.140681"",""568696505.175277"",""645811666.949617"",""669014546.372038"",""668786941.311741"",""712235315.533631"",""768650101.534777"",""826429695.030533"",""937474423.154743"",""948103234.639913"",""947082028.581921"",""926784356.235762"",""945061146.390565"",""954630021.994299"",""997965040.947264"",""1105099623.23129"",""1213263585.50793"",""1371099728.23563"",""1528000000"",""1703000000"",""1908000000"",""2027000000"",""2031000000"",""2044000000"",""2065000000"",""2139000000"",""2223000000"",""2422000000"",""2737000000"",""2875000000"",""3022000000"",""3304000000"",""3457000000"",""3533000000"",""3695000000"",""3816000000"",""3758000000"",""3741000000"",""3788000000"",""3784000000"",""3930000000"",""4108000000"",""4276000000"",""4420000000"",""4425000000"",""4350000000"",""4398000000"",""4596000000"",""3980000000"",""4586000000"","""","
"Bermudas,""BMU"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"",""1588221164.9"",""1662549915.4"",""1736865896.6"",""1755450361.7"",""1950480896.9"",""2043323787.6"",""2336819386.2"",""2647033088.5"",""2702760100.9"",""2795638454.8"",""2972107327.4"",""3074273516.8"",""3130000529.2"",""3176439706.2"",""3204303212.4"",""3325045072.5"",""3622255805.3"",""3835876019.4"",""3891603031.8"",""3975193550.4"",""4290979953.9"",""4393146143.3"",""4160950258.4"",""4244540777"",""4264974014.8"",""4179525929.2"",""4458160991.1"",""4625342028.3"",""4812956303.3"",""4834318324.7"",""4835247108.3"",""4664351000"",""4661564600"",""4801810900"",""4830603200"",""5043108600"",""5174253400"",""5412269100"",""5623347600"",""5813565600"",""6355224600"",""6814226600"",""6713526600"",""6942505300"",""7103659400"",""7222589300"",""7623000000"",""7878000000"",""7731000000"",""7296000000"",""7113390000"",""6847154000"",""6483892000"",""6465756000"",""6226454000"",""6274742000"",""6233504000"",""6458622000"",""6430669000"",""6450364000"",""6009291000"",""6334606000"","""","
"Bolivia,""BOL"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"",""6097257474.3"",""6224647226.9"",""6571915182.7"",""7018649383.2"",""7296349021.3"",""7654850895.4"",""8203748842.4"",""8721997665.4"",""9465935492.1"",""9889450659.3"",""10406770721"",""10933700535"",""11804841508"",""12482340430"",""12849267291"",""13788679501"",""14424967422"",""15142063661"",""15452883979"",""15473489480"",""15261228342.9981"",""15303290787.3548"",""14700534268.9355"",""14106320827.3485"",""14078014280.1471"",""13842011887.3525"",""13485734530.3793"",""13817953525.8387"",""14219986601.8618"",""14758942717.0704"",""15443135928.0322"",""16256452800"",""16524115000"",""17229578400"",""18033728500"",""18877396200"",""19700704000"",""20676718000"",""21716623500"",""21809328600"",""22356265300"",""22732699900"",""23297736100"",""23929416900"",""24928062200"",""26030239800"",""27278912700"",""28524027100"",""30277826300"",""31294252800"",""32585679800"",""34281468700"",""36037460000"",""38486569900"",""40588155800"",""42559598548.9671"",""44374306139.8591"",""46235899827.0935"",""48188730162.8003"",""49256932528.4248"",""44952918688.3619"",""47697655896.9908"","""","
"Brasil,""BRA"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"",""429992444364.633"",""466971794579.992"",""497791933022.271"",""500778684620.405"",""517805159897.498"",""530232483735.038"",""565758060145.286"",""589519898671.388"",""647292848741.184"",""708785669371.596"",""782499378986.242"",""871257673141.854"",""975288872304.538"",""1111524261424.92"",""1202157268165.65"",""1264268515650.33"",""1393946174968.11"",""1462728052357.32"",""1535424140031.4"",""1639212057905.15"",""1790019567232.42"",""1713943735625.05"",""1728169468630.73"",""1677534103199.85"",""1768120944772.64"",""1906918438937.3"",""2049746630013.7"",""2122102686053.18"",""2120829424441.55"",""2187847634253.91"",""2092676262163.86"",""2114276648600"",""2102773460300"",""2206328534700"",""2335462083600"",""2434107182400"",""2487873300900"",""2572332767800"",""2581029770900"",""2593107378800"",""2706891619700"",""2744514608900"",""2828317315700"",""2860583579800"",""3025352182400"",""3122227954600"",""3245930273700"",""3442954041300"",""3618344849300"",""3613792537200"",""3885847000000"",""4040287000000"",""4117908023600"",""4241643857400"",""4263019865100"",""4111863267300"",""3977162043300"",""4029774689200"",""4101652440900"",""4151724504300"",""3990692548500"",""4175039462900"","""","
