"Data Source","Indicadores del desarrollo mundial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","5/10/2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Belice","BLZ","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57879","59628","61427","63068","64686","67150","70222","73827","77732","81714","85670","89568","93480","97460","101512","105694","110038","114553","119222","124045","129090","134322","139630","145052","151931","157867","163868","167852","172955","177832","177407","184589","190015"
"Bermudas","BMU","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bolivia","BOL","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2913824","2993537","3059982","3141723","3228443","3315761","3402680","3493976","3589803","3688232","3743883","3820117","3898322","3980057","4064628","4151820","4417572","4416875","4570941","4696931","4799179","4902372","4776939","4929362","5186538","4978794","5103906","5306478","5663066","5684739","5705374","5664325","5863110"
"Brasil","BRA","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62129127","63620325","65276714","66978150","68722270","70502971","70221615","72951024","74794611","77242077","79347235","81451849","84252471","85732532","88065748","90599379","91731711","92730992","93935308","95703669","95367508","94948394","97188186","98532617","99628945","101299233","102278733","104079618","105437485","107415119","100641930","105434083","108380011"
"Barbados","BRB","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132198","131957","131733","133917","136015","137944","136149","138366","138898","139642","142025","144594","143335","145813","147648","148408","145822","146641","147080","147741","148400","149131","146825","148815","143390","144417","148685","147106","146039","143823","140212","141327","142648"
"Brunei Darussalam","BRN","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109916","113338","116591","119729","123167","126936","131083","135638","140561","145756","151139","156664","161368","166039","170625","175084","179379","183516","187518","191393","195182","198598","200259","201720","203072","204352","205465","206363","218003","217445","218013","221395","224612"
"Bhután","BTN","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230669","234189","225170","215044","215609","218800","224201","229739","236070","244302","254064","264329","275240","286771","298864","309880","317948","325013","332055","338969","338303","341235","332058","342591","334024","342466","348313","354541","361072","367463","359185","366787","376933"
"Botswana","BWA","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","434369","449531","465899","483379","500969","518448","536370","553974","571034","587962","604481","625334","645728","665680","685506","705453","725796","758244","792136","827046","805850","831878","856975","882334","908862","936988","967141","999039","1031385","1063621","1066751","1116485","1151624"
"República Centroafricana","CAF","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1078561","1108097","1140475","1175435","1211845","1244144","1276862","1313887","1352143","1392226","1434054","1469433","1505203","1544126","1577653","1613926","1645567","1673441","1706706","1741932","1774367","1793765","1792920","1784916","1758255","1749975","1780976","1814399","1849471","1893599","1932138","1985303","2042438"
"Canadá","CAN","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14743717","14803644","14782203","14871263","15013489","15119721","15278818","15520772","15760787","16041716","16308539","16585664","17068694","17463547","17673742","17819057","18035498","18382598","18662575","18787385","18985430","19146806","19316264","19522293","19586757","19690129","19877599","20144985","20344108","20758436","20487247","20971220","21142985"
"Europa Central y del Báltico","CEB","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52770317","53040492","53057310","52636833","52269478","51840906","51230374","51185786","51049813","51020601","50973631","50748521","49306849","48922737","48857336","48779232","48857471","48880016","48998951","49080180","49233342","48967725","49217885","49257844","49556407","49475145","49318975","49689091","49617865","49577634","49254854","48878850","51847770"
"Suiza","CHE","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3803704","3852643","3880813","3904542","3881031","3887534","3938957","3936594","3984661","3998186","3998850","4062012","4103899","4151688","4156364","4176327","4239193","4307257","4410392","4477719","4447007","4532128","4589900","4647770","4732391","4804656","4886342","4920490","4956328","4971006","4979813","4980848","5017413"
"Islas del Canal","CHI","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67790","68325","68460","68300","68298","68654","69191","69671","70298","71121","71477","72648","73972","74988","75554","76062","76300","76581","77834","79109","79610","79373","79729","80236","80804","81596","82427","83079","83802","84527","84092","85558","86871"
"Chile","CHL","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4910898","5071896","5272826","5429573","5571433","5759220","5926506","6031946","6153951","6252432","6281817","6292422","6348066","6524560","6686711","6849194","7114930","7297902","7574753","7672069","7836109","8131735","8209415","8324494","8468946","8566113","8661001","8872208","9059235","9214285","8698434","9081005","9446464"
"China","CHN","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","639133946","647240828","655427871","663270310","671847538","681135001","691090313","702212322","712827235","722366758","731993935","739359562","747567965","755273046","762251057","769371812","774287037","776045127","776378230","775599063","774058132","778323480","778937997","779042510","780062420","780709584","780524312","778674707","776278514","775321104","751446327","780370660","781908269"
"Côte d'Ivoire","CIV","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4131286","4311020","4500438","4697202","4898928","5104513","5318976","5532489","5730465","5891255","6020615","6137014","6264404","6414848","6577439","6748108","6923835","7104515","7289697","7478860","7674193","7842038","7988446","8151021","8360975","8617882","8883562","9157647","9441715","9735200","9943686","10355728","10787278"
